Dominant_Topic,Topic_Perc_Contrib,Keywords
19,0.47203782200813293,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.499535471200943,"loan,interest,company,asset,financial,loss,security,value,rate,year"
11,0.9158549904823303,"investment,company,fund,financial,asset,share,income,net,year,management"
19,0.48249486088752747,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.38113975524902344,"loan,financial,interest,income,value,security,asset,loss,rate,net"
0,0.6897765398025513,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.9370552897453308,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.48152467608451843,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.5019968748092651,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7678655385971069,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.5098604559898376,"company,financial,year,stock,service,revenue,include,market,may,business"
18,0.9467920660972595,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.8308882117271423,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.5157029032707214,"company,financial,year,stock,service,revenue,include,market,may,business"
16,0.6086300611495972,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
13,0.6300994157791138,"loan,financial,interest,income,value,security,asset,loss,rate,net"
12,0.6960658431053162,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.7886233925819397,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8512880206108093,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.9905300736427307,"company,financial,year,stock,service,revenue,include,market,may,business"
0,0.6225292086601257,"company,financial,bank,may,loan,report,capital,institution,include,risk"
18,0.7387097477912903,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
15,0.9475802183151245,"trust,interest,unit,property,royalty,net,gas,production,price,income"
2,0.7384067177772522,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
13,0.9200714826583862,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.9173895716667175,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.9336361289024353,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.6203594207763672,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.5930031538009644,"loan,financial,interest,income,value,security,asset,loss,rate,net"
1,0.7153334617614746,"insurance,company,loss,financial,year,value,premium,claim,mortgage,net"
12,0.6398402452468872,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.4379790425300598,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.9426391124725342,"company,financial,year,stock,service,revenue,include,market,may,business"
8,0.9536278247833252,"company,property,interest,year,income,share,financial,lease,include,net"
12,0.41957345604896545,"property,may,interest,share,year,income,investment,value,rate,real"
2,0.4654557704925537,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
8,0.92458176612854,"company,property,interest,year,income,share,financial,lease,include,net"
18,0.8919520378112793,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
18,0.7772945165634155,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
16,0.5379319787025452,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
8,0.5289165377616882,"company,property,interest,year,income,share,financial,lease,include,net"
2,0.7752112746238708,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
18,0.5015696287155151,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
0,0.5911919474601746,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.9996647238731384,"company,financial,bank,may,loan,report,capital,institution,include,risk"
16,0.514376699924469,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
0,0.9993990063667297,"company,financial,bank,may,loan,report,capital,institution,include,risk"
14,0.6749653220176697,"credit,financial,year,cash,company,interest,income,sale,end,loan"
19,0.669759213924408,"loan,interest,company,asset,financial,loss,security,value,rate,year"
10,0.4423810839653015,"loan,credit,value,loss,interest,asset,include,rate,net,income"
11,0.5314854383468628,"investment,company,fund,financial,asset,share,income,net,year,management"
19,0.6650177240371704,"loan,interest,company,asset,financial,loss,security,value,rate,year"
2,0.8008818030357361,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
12,0.9265239238739014,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.8566137552261353,"loan,interest,company,asset,financial,loss,security,value,rate,year"
11,0.25028592348098755,"investment,company,fund,financial,asset,share,income,net,year,management"
17,0.6673645973205566,"investment,company,value,may,interest,stock,income,portfolio,net,asset"
0,0.7145000100135803,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.8043949007987976,"loan,interest,company,asset,financial,loss,security,value,rate,year"
11,0.6824261546134949,"investment,company,fund,financial,asset,share,income,net,year,management"
19,0.4003082513809204,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.41461479663848877,"loan,interest,company,asset,financial,loss,security,value,rate,year"
10,0.5790690183639526,"loan,credit,value,loss,interest,asset,include,rate,net,income"
16,0.32433590292930603,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
14,0.4249562919139862,"credit,financial,year,cash,company,interest,income,sale,end,loan"
2,0.6631286144256592,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
0,0.7222004532814026,"company,financial,bank,may,loan,report,capital,institution,include,risk"
14,0.2705952227115631,"credit,financial,year,cash,company,interest,income,sale,end,loan"
8,0.6550502777099609,"company,property,interest,year,income,share,financial,lease,include,net"
12,0.5892154574394226,"property,may,interest,share,year,income,investment,value,rate,real"
4,0.8168524503707886,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.8028232455253601,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7401073575019836,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.7645416855812073,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.7211123704910278,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.8581495881080627,"property,may,interest,share,year,income,investment,value,rate,real"
4,0.7537204623222351,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.357841819524765,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.8553367853164673,"property,may,interest,share,year,income,investment,value,rate,real"
13,0.47634264826774597,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.8453173041343689,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.4202861189842224,"company,property,interest,year,income,share,financial,lease,include,net"
13,0.5789254903793335,"loan,financial,interest,income,value,security,asset,loss,rate,net"
8,0.41337013244628906,"company,property,interest,year,income,share,financial,lease,include,net"
4,0.7695502042770386,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.5444283485412598,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.427938848733902,"company,property,interest,year,income,share,financial,lease,include,net"
4,0.7464671730995178,"company,financial,year,stock,service,revenue,include,market,may,business"
18,0.8048965334892273,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
11,0.7002213597297668,"investment,company,fund,financial,asset,share,income,net,year,management"
14,0.4108346104621887,"credit,financial,year,cash,company,interest,income,sale,end,loan"
16,0.34755203127861023,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
2,0.6206768155097961,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
