,Topic Number,Word,Probability
152,0.0,must,0.0014309308025985956
153,0.0,mortgage,0.0014248094521462917
154,0.0,provision,0.0014066651929169893
155,0.0,restriction,0.0014056001091375947
156,0.0,product,0.0013977430062368512
157,0.0,offer,0.001394591759890318
158,0.0,basis,0.001390421180985868
159,0.0,accounting,0.0013891360722482204
160,0.0,corporate,0.0013872009003534913
161,0.0,quarter,0.0013831302057951689
162,0.0,reporting,0.0013716588728129864
163,0.0,branch,0.0013696067035198212
164,0.0,various,0.0013511452125385404
165,0.0,outstanding,0.0013368690852075815
166,0.0,contain,0.0013324337778612971
167,0.0,firm,0.001321126357652247
168,0.0,property,0.0013096504844725132
169,0.0,stockholder,0.0013071992434561253
170,0.0,fiscal,0.0013069191481918097
171,0.0,option,0.0013034400762990117
172,0.0,adopt,0.0012958348961547017
